plate.number,plate.id,well,sample.id,host,sample.name,host.id,treatment,time,individual
1,plate1vf,D07,ac59,Aegilops.cylindrica,Ac.Zt469.t11.3,Ac,Zt469,t11,3
1,plate1vf,E12,ac6,Aegilops.cylindrica,Ac.Zt549.t0.2,Ac,Zt549,t0,2
1,plate1vf,D01,ac60,Aegilops.cylindrica,Ac.Zt469.t11.4,Ac,Zt469,t11,4
1,plate1vf,D09,ac61,Aegilops.cylindrica,Ac.Zt469.t11.5,Ac,Zt469,t11,5
1,plate1vf,E04,ac62,Aegilops.cylindrica,Ac.Zt549.t11.1,Ac,Zt549,t11,1
1,plate1vf,D04,ac63,Aegilops.cylindrica,Ac.Zt549.t11.2,Ac,Zt549,t11,2
1,plate1vf,C08,ac64,Aegilops.cylindrica,Ac.Zt549.t11.3,Ac,Zt549,t11,3
1,plate1vf,B11,ac65,Aegilops.cylindrica,Ac.Zt549.t11.4,Ac,Zt549,t11,4
1,plate1vf,F01,ac66,Aegilops.cylindrica,Ac.Zt549.t11.5,Ac,Zt549,t11,5
1,plate1vf,E07,ac7,Aegilops.cylindrica,Ac.Mock.t2.1,Ac,Mock,t2,1
1,plate1vf,E05,ac8,Aegilops.cylindrica,Ac.Mock.t2.2,Ac,Mock,t2,2
1,plate1vf,A11,ac9,Aegilops.cylindrica,Ac.Mock.t2.3,Ac,Mock,t2,3
1,plate1vf,F11,hm1,Hordeum.murinum,Hm.Mock.t2.1,Hm,Mock,t2,1
1,plate1vf,H02,hm10,Hordeum.murinum,Hm.Zpa796.t2.5,Hm,Zpa796,t2,5
1,plate1vf,H03,hm11,Hordeum.murinum,Hm.Zpa21.t2.1,Hm,Zpa21,t2,1
1,plate1vf,H10,hm12,Hordeum.murinum,Hm.Zpa21.t2.2,Hm,Zpa21,t2,2
2,plate2vc,A01,hm13,Hordeum.murinum,Hm.Zpa21.t2.3,Hm,Zpa21,t2,3
2,plate2vc,A04,hm14,Hordeum.murinum,Hm.Zpa21.t2.4,Hm,Zpa21,t2,4
1,plate1vf,G10,hm15,Hordeum.murinum,Hm.Zpa21.t2.5,Hm,Zpa21,t2,5
1,plate1vf,G12,hm16,Hordeum.murinum,Hm.Mock.t4.1,Hm,Mock,t4,1
2,plate2vc,A12,hm17,Hordeum.murinum,Hm.Mock.t4.2,Hm,Mock,t4,2
