domain	phylum	class	order	family	genus	otu.id
OTU_445	d:Bacteria	p:Bacillota	c:Clostridia	o:Eubacteriales	f:Peptococcaceae	g:Desulfosporosinus	OTU_445
OTU_448	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_448
OTU_450	d:Bacteria	p:Bacillota	c:Bacilli	o:Caryophanales	f:Paenibacillaceae	g:Paenibacillus	OTU_450
OTU_451	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Caulobacter	OTU_451
OTU_454	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Hyphomicrobiales	f:Methylobacteriaceae	g:Methylorubrum	OTU_454
OTU_455	d:Bacteria	p:Planctomycetota	c:Planctomycetia	o:Isosphaerales	f:Isosphaeraceae	NA	OTU_455
OTU_456	d:Bacteria	p:Actinomycetota	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_456
OTU_458	d:Bacteria	p:Pseudomonadota	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Pseudoxanthomonas	OTU_458
OTU_459	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Rhodospirillales	f:Geminicoccaceae	g:Arboricoccus	OTU_459
OTU_460	d:Bacteria	p:Pseudomonadota	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingopyxis	OTU_460
OTU_463	d:Bacteria	p:Actinomycetota	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Humibacter	OTU_463
